batter,batter_id,pa,xwoba,xba,xslg,avg_ev,hardhit_rate,batter_score
Drake Baldwin,686948,83,0.2781999152148665,0.2541461781358885,0.5350820176393728,82.68846153846154,0.07228915662650602,-0.09213085769028023
Drew Gilbert,687551,49,0.27223216666666666,0.235,0.29275,78.65,0.061224489795918366,-0.45459893510248595
Dylan Beavers,687637,105,0.3033598035982009,0.2968943965517241,0.6669700670498084,80.68709677419355,0.02857142857142857,-0.07182129215393944
Dylan Carlson,666185,14,0.24583233333333335,0.041,0.041,68.4,0.0,-1.3860575318332629
Dylan Crews,686611,47,0.1967497857142857,0.22999999999999998,0.2668888888888889,83.47647058823529,0.0425531914893617,-0.6564207976989602
Dylan Moore,664238,24,0.22154816666666666,0.212,0.2416666666666667,79.71666666666667,0.041666666666666664,-0.7169443440390393
Edgar Quero,700337,85,0.20113988,0.25070000000000003,0.29359999999999997,84.32068965517242,0.11764705882352941,-0.3419336413134003
Edmundo Sosa,624641,44,0.38302153846153847,0.2939172222222222,0.6890486868686869,83.79130434782608,0.18181818181818182,0.7938177283227815
Edouard Julien,666397,51,0.3453550913169266,0.3342992309382553,0.8750823053018175,82.11875,0.09803921568627451,0.5154201234712338
Eli White,642201,14,0.6950000000000001,0.8802413793103447,2.323862068965517,82.55,0.07142857142857142,3.1524157604837177
Elias Díaz,553869,4,0.4486052631578947,0.5583157894736841,1.6347894736842106,110.35,0.5,3.7057705949353816
Elly De La Cruz,682829,99,0.3454723653846154,0.34140671296296293,0.6250356481481482,88.12962962962963,0.1111111111111111,0.5625437206079272
Enrique Hernández,571771,78,0.295656015037594,0.3479081632653061,0.5966556122448979,82.98125,0.0641025641025641,0.07532529688557743
Eric Wagaman,676572,53,0.294508547008547,0.3506288888888889,0.5496977777777777,84.79545454545455,0.1320754716981132,0.3088671401122338
Ernie Clement,676391,71,0.2941760874125874,0.2562330769230769,0.40716692307692304,82.19354838709677,0.07042253521126761,-0.14602907982596244
Eugenio Suárez,553993,109,0.24969666666666668,0.3647669871794872,0.7887500000000001,84.121875,0.09174311926605505,0.18758290120978333
Everson Pereira,677592,5,0.0265,0.051,0.055,72.8,0.0,-1.9989537556835233
Ezequiel Duran,677649,61,0.27762554112554116,0.2966190476190476,0.4443546365914788,86.008,0.11475409836065574,0.10997821418531224
Ezequiel Tovar,678662,74,0.2504173913043478,0.333525,0.5382583333333333,79.48064516129033,0.05405405405405406,-0.26986302909747056
Fernando Tatis Jr.,665487,38,0.49198719999999996,0.375,1.3362708333333335,83.4,0.07894736842105263,1.3628904550472258
Francisco Alvarez,682626,80,0.3691499507640068,0.37771655913978497,0.8236395698924731,86.79444444444444,0.0875,0.7026741026912505
Francisco Lindor,596019,109,0.451064420303451,0.35653323690431754,0.7336609231411864,85.26666666666667,0.09174311926605505,0.8733328119295853
Freddie Freeman,518692,69,0.41183226315789473,0.2895117521367521,0.6622903311965811,83.23913043478261,0.08695652173913043,0.55441939171545
Freddy Fermin,666023,76,0.12736000986842105,0.12784210526315787,0.2815263157894737,81.99285714285715,0.06578947368421052,-0.9444741642324361
Gabriel Arias,672356,102,0.19369290909090908,0.25495,0.41318124999999994,79.571875,0.06862745098039216,-0.5739431799972906
Gabriel Moreno,672515,110,0.27297686363636364,0.3434166666666667,0.42250000000000004,81.44074074074075,0.05454545454545454,-0.20608191696813893
Garrett Stubbs,596117,4,0.044,0.038,0.043,78.66666666666667,0.25,-0.9942213222180487
Gavin Lux,666158,59,0.3404558518518519,0.34646944444444444,0.49688055555555555,86.46666666666667,0.11864406779661017,0.4337147647995867
