pitcher,pitcher_id,bf,xwoba_allowed,woba_allowed,xslg_allowed,avg_ev_allowed,hardhit_allowed_rate,k_rate,bb_rate,pitcher_score
Pierson Ohl,701487,42,0.2788333333333333,0.25416666666666665,0.516,82.81818181818181,0.047619047619047616,0.09523809523809523,0.0,0.3656736327240135
Quinn Priester,682990,87,0.2787480579710145,0.42826086956521736,0.42945601851851856,86.02592592592592,0.06896551724137931,0.04597701149425287,0.011494252873563218,-0.0034735650869829188
Rafael Montero,606160,38,0.2955548888888889,0.35555555555555557,0.2818333333333333,84.5,0.07894736842105263,0.02631578947368421,0.05263157894736842,-0.17527749596563214
Raisel Iglesias,628452,45,0.3005449090909091,0.20909090909090908,0.4862,88.56923076923077,0.08888888888888889,0.08888888888888889,0.044444444444444446,-0.05790413240259016
Randy Vásquez,681190,116,0.2920886888888889,0.20833333333333334,0.4124259259259259,84.79767441860466,0.10344827586206896,0.034482758620689655,0.017241379310344827,-0.171585545676995
Ranger Suarez,624133,84,0.4340387301587302,0.5071428571428571,0.7975089384719405,84.48611111111111,0.11904761904761904,0.047619047619047616,0.0,-0.7889575663260187
Richard Lovelady,663992,31,0.36459438306451614,0.3375,0.7133258064516129,87.1625,0.0967741935483871,0.06451612903225806,0.03225806451612903,-0.49437749204573395
Rico Garcia,670329,46,0.4369522727272726,0.4272727272727273,0.9791660714285716,80.53333333333333,0.08695652173913043,0.08695652173913043,0.0,-0.5210363917851131
Riley O'Brien,676617,36,0.2736,0.34545454545454546,0.4878571428571429,76.13636363636364,0.05555555555555555,0.08333333333333333,0.027777777777777776,0.3962692435655366
Rob Zastryzny,642239,3,0.011,0.0,0.013,68.7,0.0,0.0,0.0,1.4685540200880411
Robert Garcia,676395,41,0.2357078181818182,0.3,0.18087499999999998,81.8,0.04878048780487805,0.024390243902439025,0.07317073170731707,0.158044702806597
Robert Gasser,688107,57,0.3205176875,0.434375,0.3776,85.39444444444445,0.08771929824561403,0.05263157894736842,0.05263157894736842,-0.21109462856656608
Robert Suarez,663158,9,0.149,0.0,0.22849999999999998,64.60000000000001,0.0,0.1111111111111111,0.0,1.5706794391641385
